"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"4004","10025921022","","","","non-public","RosettaGeneID: HSG00353794","HSG00353794"
"4005","10023850775","57221","KIAA1244","","non-public","ENSEMBLE: ENST00000296900","HSG00242619"
"4006","10023807735","400761","","XM_378874","non-public","","HSG00208159"
"4007","10025934776","","","AF085822","AF085822","","HSG00219054"
"4008","10025925634","348645","RP1-29C18.7","XM_379065","non-public","","HSG00314279"
"4009","10025905614","374286","CDRT1","NM_006382","NM_006382","","HSG00302604"
"4010","10023816643","26135","SERBP1","NM_015640","NM_015640","","HSG00202343"
"4011","10025919248","","","BC041347","BC041347","","HSG00223973"
"4012","10023844502","7352","UCP3","NM_003356","NM_003356","","HSG00272443"
"4013","10025934325","","","AA430188","non-public","","HSG00208710"
"4014","10025904668","3434","IFIT1","NM_001548","NM_001548","","HSG00268684"
"4015","10023847448","91689","","NM_033318","NM_033318","","HSG00314522"
"4016","10023821241","2632","GBE1","NM_000158","NM_000158","","HSG00219726"
"4017","10025912514","81573","ANKRD13C","NM_030816","NM_030816","","HSG00206824"
"4018","10031920907","2691","GHRH","AI631051","AI631051","","HSG00311235"
"4019","10025911930","55294","FBXW7","NM_033632","NM_033632","","HSG00228576"
"4020","10025920778","","","AI359403","non-public","","HSG00230955"
"4021","10023844909","81858","SHARPIN","NM_030974","NM_030974","","HSG00258409"
"4022","10023829840","57451","ODZ2","XM_047995","non-public","","HSG00237717"
"4023","10023811128","140710","C20orf117","NM_080627","non-public","","HSG00312243"
"4024","10025914860","401535","","XM_376885","non-public","","HSG00263415"
"4025","10025914242","","","AL110230","AL110230","","HSG00386667"
"4026","10025912165","6916","TBXAS1","NM_001061","NM_001061","","HSG00250544"
"4027","10025923290","","","AA971378","non-public","","HSG00218940"
"4028","10025919839","148638","","AK058184","AK058184","","HSG00203188"
"4029","10025913237","9584","RNPC2","NM_004902","NM_004902","","HSG00311650"
"4030","10025904311","353140","LCE2C","NM_178429","NM_178429","","HSG00208809"
"4031","10023808536","3773","KCNJ16","NM_018658","NM_018658","","HSG00301938"
"4032","10023816769","3676","ITGA4","NM_000885","non-public","","HSG00211286"
"4033","10025925928","","","T62626","non-public","","HSG00212392"
